Produkt,Hur ofta produkten varit på rea
Läsk,3
Italiensk hårdost - Grana Padano,2
Smörgåspålägg,2
Färdigrätter,2
Kakor,2
Ekologiska Hamburgare 4-pack,2
Kycklingstekkorv,2
Flytande Tvål Refill,2
Färska lasagneplattor,2
Tortellini,2
Skivad ost,2
Bröd,2
Delikatessmedwurst,1
Korv,1
Gräddfil,1
Hårt bröd,1
Bondlimpa,1
Dessertost,1
Mjukost,1
Cambozola Classic,1
Chokladmjölkdryck Pucko,1
Black Cheddar,1
Ätmogen mango,1
Pan pizza/Piroger,1
Glass/sorbet,1
Champinjoner,1
Vårrullar,1
Lätta,1
Juice/Lemonad/Smoothie,1
Köttbullar,1
Drickyoghurt,1
Färsk fläskkarré,1
Kall sås,1
Salami,1
Kycklingnuggets,1
Färsk oxfilé,1
Serrano,1
Grytbitar av fläsk,1
Kyckling Lagat & klart,1
Stekfläsk,1
Ribs BBQ,1
Källarrökt skinka,1
Grillad rostbiff,1
Potatissallad,1
Ekologisk blandfärs i rulle,1
Matpaj,1
Vegetariskt,1
Fingervantar,1
Blöjor,1
Ätklar klämmis,1
Maskindisktabletter,1
Tvättmedel,1
Tandkräm,1
Deodorant/Duschcreme,1
Brustabletter,1
Sockor 8-pack,1
Wokmix,1
Glasögonservetter 20-pack,1
Guinness World Records,1
Parasiten,1
Laddkabel 3A,1
Bamse Boken om vargen,1
Sittunderlag,1
Läsglasögon,1
Våtservetter 2-pack,1
Nötter,1
Dippmix,1
Chokladkakor,1
Färdig kimchisallad i påse,1
Stora räkor med skal,1
Vegofärs,1
Soppa,1
Muslibar,1
Ekologiska kryddor,1
Frukostflingor,1
Ketchup,1
Valnötter,1
Krossade tomater,1
Nötkräm,1
Öl 6-pack,1
Mineral-/kolsyrat vatten,1
Dryck med ciderkaraktär,1
Dubbla stycksaker,1
Ekologisk palsternacka,1
Snacks,1
Clementiner,1
Strimlad Fläskytterfilé,1
Chokladfondant 2-pack,1
Salsicciafärs,1
Strimlad kyckling,1
Entrecote,1
Nötfärs Rulle Naturbeteskött,1
Fläskschnitzel,1
Högrevsfärs,1
Ekologisk leverpastej,1
Rostbiff,1
Lammytterfilé,1
Laktosfri mjölkdryck,1
Smör- och rapsolja,1
Smaksatt lätt crème fraiche,1
Grädde,1
Kokt skinka,1
Serranoskinka,1
Grissini,1
Tulpaner 15-pack,1
Apelsiner,1
Vaniljyoghurt,1
Rapsolja,1
Kycklingbröstfiléer,1
Plommontomater,1
Ekologiska morötter,1
Färska jordgubbar,1
Svartrökt bog,1
Alla Hjärtans dag-bukett,1
Aubergine,1
Äpple Pink Lady,1
Pizzakit,1
Kycklingspett,1
Strömming,1
Vaniljhjärtan,1
Maasdamer,1
Utvald potatis i påse,1
Toalett-/Hushållspapper,1
Doftpinnar/Doftspridare,1
Vattenflaska,1
Mopp och hink,1
Mugg,1
Kaffe,1
Brödform/Springform,1
Färsk Fläskytterfilé,1
Matlåda,1
Smör,1
Gurka,1
Tex mex,1
Risifrutti/Mannafrutti,1
Färska hallon/blåbär i ask,1
Engelsk pelargon,1
Måttkanna,1
Ansiktsservetter,1
Ekologisk Blå Kornblomst,1
Rostad lök,1
Ekologisk grillost,1
Chokladdryckspulver,1
Bistropytt,1
Ekologiska Hallon,1
Torskryggfilé,1
Potatisbullar,1
Fruktstänger,1
Fläckborttagningspulver,1
Ekologiskt basmatiris,1
Rårörda lingon,1
Ekologisk chokladkaka,1
Chokladask,1
Ekologisk barnmat,1
Bakplåtspapper,1
Atlas: Historien Om Pa Salt,1
